Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.38177E-10,0.000000054,0.000001556,1,0,0
5.65736E-10,0.00000011,0.000001636,0.999900398,0,0
8.02924E-10,0.00000033,0.000002322,0.999601594,0,0
1.22717E-9,0.000001065,0.000003549,0.998904382,0,0
1.85931E-9,0.000002666,0.000005377,0.997908367,0,0
3.3412E-9,0.000010247,0.000009663,0.995119522,0,0
5.64183E-9,0.000025337,0.000016317,0.991633466,0,0
8.41171E-9,0.000050492,0.000024328,0.98814741,0,0
1.14848E-8,0.000100373,0.000033215,0.983167331,0,0
2.12621E-8,0.000252014,0.000061491,0.973605578,0,0
3.25006E-8,0.000502091,0.000093992,0.964243028,0,0
4.60582E-8,0.001000421,0.000133199,0.951593625,0,0
7.75551E-8,0.002500484,0.000224276,0.927091633,0,0
1.45414E-7,0.005002225,0.000420472,0.904083665,0,0
2.83319E-7,0.010001038,0.000819068,0.879880478,0,0
6.86466E-7,0.02500229,0.001983397,0.847111554,0,0
1.3542E-6,0.050121929,0.003908897,0.821713147,0,0
2.54905E-6,0.100187568,0.007345131,0.795418327,0,0
3.94557E-6,0.200129904,0.011346326,0.765039841,0,0
5.08373E-6,0.300394038,0.014595361,0.74312749,0,0
6.10194E-6,0.400275742,0.017492955,0.725398406,0,0
6.86659E-6,0.500323532,0.019663334,0.710059761,0,0
7.53446E-6,0.600724897,0.021555102,0.696215139,0,0
8.17104E-6,0.700495198,0.023354869,0.683565737,0,0
8.42752E-6,0.75042074,0.02407905,0.677589641,0,0
8.68052E-6,0.800762009,0.02479289,0.671713147,0,0
9.21235E-6,0.900893615,0.026291718,0.660557769,0,0
9.74489E-6,1.000280325,0.027790258,0.650099602,0,0
1.03096E-5,1.100670293,0.029376782,0.640139442,0,0
1.0766E-5,1.200844979,0.030657057,0.630677291,0,0
1.13319E-5,1.300295718,0.032242256,0.621713147,0,0
1.18492E-5,1.401000521,0.033689071,0.613047809,0,0
1.23736E-5,1.500338489,0.035153549,0.604880478,0,0
1.35145E-5,1.750925314,0.038331971,0.585557769,0,0
1.46797E-5,2.000076635,0.041567241,0.567928287,0,0
1.59148E-5,2.250757242,0.044984738,0.551593625,0,0
1.70225E-5,2.500880553,0.048039508,0.536454183,0,0
1.84404E-5,2.750519285,0.051935373,0.522410359,0,0
1.99421E-5,3.000743515,0.056043868,0.509462151,0,0.025
2.12928E-5,3.251717296,0.059724164,0.497310757,0,0.025
2.25839E-5,3.501673038,0.063228729,0.485956175,0,0.025
2.39066E-5,3.750965835,0.066805494,0.475298805,0,0.025
2.52655E-5,4.001477633,0.070465836,0.465139442,0,0.025
2.69278E-5,4.252425801,0.074923903,0.455577689,0,0.025
2.84061E-5,4.501281923,0.078870687,0.446613546,0.024390244,0.025
3.02356E-5,4.750529815,0.08373177,0.43814741,0.024390244,0.025
