Predictor variable,Categorical,Sample average
cld6190_ann,false,69.95121951219512
dtr6190_ann,false,96.7560975609756
ecoreg,false,9.463414634146341
frs6190_ann,false,1.4390243902439024
h_dem,false,192.09756097560975
pre6190_ann,false,69.07317073170732
pre6190_l1,false,60.80487804878049
pre6190_l10,false,79.65853658536585
pre6190_l4,false,73.90243902439025
pre6190_l7,false,62.0
tmn6190_ann,false,195.21951219512195
tmp6190_ann,false,254.29268292682926
tmx6190_ann,false,316.3414634146341
vap6190_ann,false,269.1463414634146
