X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-63.6667,-17.45,train,5.977642934468182E-5,13.154467088531192,0.18330677191064204
-63.85,-17.4,train,8.760574109823477E-5,18.143599200748525,0.25677994598897735
-64.4167,-16.0,train,6.79484716904814E-5,14.830680391957285,0.20560495918345245
-60.0833,-3.1333,train,2.9782751656363027E-4,55.50456019726169,0.6353751122720148
-62.0833,-3.8333,train,3.5275494356508435E-4,62.3367174313465,0.697281508975937
-40.0667,-19.3333,train,8.741721374304543E-5,18.115706457650937,0.2563051491454821
-55.2833,-3.45,train,5.83352661401926E-5,12.804421207284506,0.17930999424516847
-49.5,-2.25,train,1.34626605879628E-4,26.0596418132286,0.36621504452805453
-46.7333,-23.45,train,7.276960686476946E-5,15.77708430490799,0.2184732734292706
-69.95,-4.15,train,3.7416339837197907E-4,64.2595936308882,0.7184577605110088
-73.4333,10.15,train,8.874234829126942E-4,75.26239875361452,0.9505173650499351
-76.6833,5.1,train,0.0018950327077056938,86.6521710629915,0.9983703570269951
-77.1167,8.0167,train,0.0021513885390139716,89.67215706220837,0.9993161662887516
-75.6833,8.2833,train,5.542672683088278E-4,71.09034840083757,0.8470389395567619
-74.3,4.5833,train,0.0022112197388970715,91.09412650434027,0.9994416212469408
-67.9333,3.8667,train,3.560906745611521E-4,62.7878352494756,0.7006828949591472
-71.3167,12.35,train,6.510813115600634E-4,72.87304738302868,0.8898076703026054
-74.7667,-0.2,train,2.309163147408902E-4,43.9939054961296,0.542613030308198
-75.3333,0.4667,train,2.1530688696298617E-4,40.8415340824439,0.5177770826124257
-73.9167,7.1667,train,0.0031939989198565633,95.5775119914746,0.9999799968841921
-75.4,9.3,train,4.714379965174357E-4,69.13463119581151,0.7974946564979951
-75.35,9.5,train,5.438830176447011E-4,70.78677687554162,0.8415625509120389
-83.4667,8.95,train,0.0013195963540744945,80.6889096970711,0.9885539715952716
-79.65,-3.7167,train,1.1212013058825335E-4,22.218648910955164,0.31600538082882546
-77.95,-1.4833,train,4.804246136411573E-4,69.36090537945579,0.8035664422253875
-85.9333,13.1833,train,1.907633803241418E-4,36.218525300121364,0.47597088548775524
-83.7,10.9333,train,0.0021787074918913404,90.32405776458553,0.9993766100532753
-83.7667,12.15,train,0.002106953666161886,89.45704302928684,0.9992050833803168
-82.5167,9.45,train,8.33358102788922E-4,74.77058391613811,0.940571884014556
-79.8167,9.1667,train,0.0047735051371893475,99.99999141351731,0.9999999050747092
-79.9833,9.25,train,0.003194408354071476,95.89567238860465,0.999980024608326
-79.6,9.2833,train,0.0029238524958933774,94.0637841899471,0.99995005087774
-77.7333,8.1333,train,0.00412727968695902,99.07232786173508,0.999999152603251
-79.5833,8.95,train,0.00334439981983178,96.5568913002277,0.9999879819786464
-74.2167,-4.8333,train,2.584699333623546E-4,48.899832699600225,0.5833725856582537
-72.1,-3.3167,train,3.3118900094396286E-4,60.4190752915409,0.674338791901688
-73.05,-3.4667,train,3.1418600363370796E-4,57.856085267162236,0.6550308490692831
