Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.03314E-12,0.000000001,0.000000007,0.999701671,0,0
5.24768E-12,0.000000003,0.000000011,0.999403341,0,0
1.09571E-11,0.00000001,0.000000024,0.998309467,0,0
2.05818E-11,0.000000027,0.000000045,0.997315036,0,0
5.5982E-11,0.000000105,0.000000122,0.99522673,0,0
8.6122E-11,0.000000255,0.000000188,0.993138425,0,0
1.83996E-10,0.000001009,0.000000402,0.98786794,0,0
3.73719E-10,0.000002533,0.000000816,0.982299125,0,0
1.14284E-9,0.000010102,0.000002496,0.971658711,0,0
2.09164E-9,0.000025083,0.000004567,0.962509944,0,0
3.11411E-9,0.000050226,0.0000068,0.952764519,0,0
5.07632E-9,0.000100438,0.000011085,0.940433572,0,0
1.16017E-8,0.000250221,0.000025334,0.921738266,0,0
1.97483E-8,0.000500367,0.000043123,0.905330151,0,0
3.58572E-8,0.001003446,0.000078298,0.886933174,0,0
1.00875E-7,0.00250352,0.000220256,0.863365155,0,0
1.99516E-7,0.005004583,0.000435587,0.845763723,0,0
4.42143E-7,0.010041256,0.000965038,0.829156722,0,0
9.79551E-7,0.025010026,0.002136754,0.807279236,0,0.01754386
1.78495E-6,0.0500974,0.003890202,0.788882259,0,0.01754386
2.96271E-6,0.100085814,0.006448764,0.767501989,0,0.01754386
4.63852E-6,0.200460361,0.010077978,0.741249006,0,0.01754386
5.88959E-6,0.300150142,0.012778711,0.722454256,0,0.01754386
6.82855E-6,0.40012092,0.014800841,0.706742243,0,0.01754386
7.698E-6,0.500374481,0.016669573,0.693019093,0,0.01754386
8.52107E-6,0.600655689,0.018435359,0.680787589,0,0.01754386
9.18445E-6,0.700083084,0.019856232,0.66964996,0,0.01754386
9.52167E-6,0.750510688,0.020577734,0.664280032,0,0.01754386
9.86873E-6,0.800950603,0.021319724,0.65910899,0,0.01754386
1.0498E-5,0.900788199,0.022663582,0.649363564,0,0.052631579
1.10509E-5,1.000829491,0.023842932,0.640115354,0,0.052631579
1.16375E-5,1.10068522,0.025092518,0.63136436,0,0.052631579
1.23438E-5,1.201216472,0.026595095,0.623011138,0,0.052631579
1.2826E-5,1.300791682,0.027619368,0.615155131,0,0.052631579
1.33387E-5,1.40042242,0.028707502,0.607597454,0,0.052631579
1.38539E-5,1.501201447,0.029799724,0.600238663,0,0.052631579
1.50982E-5,1.751504945,0.032432264,0.583035004,0,0.052631579
1.63681E-5,2.001519784,0.035111655,0.567223548,0,0.052631579
1.74636E-5,2.250327272,0.037417168,0.55260541,0,0.070175439
1.84359E-5,2.500334983,0.039458712,0.538782816,0,0.070175439
1.95031E-5,2.750758381,0.041694553,0.525656325,0,0.070175439
2.05172E-5,3.00117142,0.043814363,0.513225935,0,0.070175439
2.13943E-5,3.250575637,0.045644062,0.501392204,0,0.070175439
2.26014E-5,3.501415328,0.048156378,0.490055688,0.01754386,0.087719298
2.3797E-5,3.751606523,0.050638145,0.479315831,0.01754386,0.087719298
2.5014E-5,4.00022557,0.053157794,0.469172633,0.01754386,0.087719298
2.62821E-5,4.251402876,0.055776158,0.459427208,0.01754386,0.087719298
2.75007E-5,4.50135718,0.058285478,0.450178998,0.035087719,0.087719298
2.8779E-5,4.751613119,0.060910505,0.44132856,0.035087719,0.087719298
3.01623E-5,5.002147714,0.063742909,0.432875895,0.035087719,0.087719298
3.12629E-5,5.251188938,0.065990431,0.424821002,0.035087719,0.087719298
3.22787E-5,5.502581008,0.06805996,0.416964996,0.035087719,0.087719298
3.35008E-5,5.752453279,0.070543709,0.409407319,0.035087719,0.087719298
3.44883E-5,6.000887266,0.072545818,0.402147971,0.035087719,0.122807018
3.5675E-5,6.250306682,0.074946186,0.39508751,0.035087719,0.122807018
3.66939E-5,6.50338969,0.077001982,0.388126492,0.035087719,0.122807018
3.82211E-5,6.750392479,0.080074947,0.381563246,0.035087719,0.122807018
3.95963E-5,7.003491102,0.082833387,0.375099443,0.035087719,0.122807018
4.12693E-5,7.254007464,0.086177966,0.36893397,0.035087719,0.122807018
4.30482E-5,7.502285079,0.089721039,0.363066826,0.035087719,0.122807018
4.46899E-5,7.751917673,0.092978363,0.357398568,0.035087719,0.122807018
4.65421E-5,8.002862411,0.096639602,0.351929196,0.035087719,0.122807018
4.82754E-5,8.254182547,0.100052425,0.346658711,0.035087719,0.122807018
4.97989E-5,8.504582349,0.103041269,0.341587112,0.035087719,0.122807018
5.12922E-5,8.751457747,0.105961501,0.336714399,0.035087719,0.140350877
5.30285E-5,9.002074374,0.109344816,0.33194113,0.035087719,0.140350877
5.48389E-5,9.255359698,0.112858964,0.327267303,0.052631579,0.140350877
5.68808E-5,9.501181726,0.116805808,0.322891806,0.052631579,0.140350877
5.88874E-5,9.755603858,0.120667405,0.318516309,0.052631579,0.140350877
6.06479E-5,10.000941431,0.124041308,0.314439141,0.052631579,0.140350877
6.28493E-5,10.254112793,0.12824221,0.310361973,0.052631579,0.140350877
6.45356E-5,10.502995175,0.131446367,0.306483691,0.070175439,0.140350877
6.61469E-5,10.751070197,0.134497016,0.302704853,0.070175439,0.140350877
6.78492E-5,11.006308435,0.137708483,0.298926014,0.070175439,0.140350877
6.94676E-5,11.253542454,0.140750464,0.295346062,0.070175439,0.140350877
7.07473E-5,11.505726822,0.143148214,0.29176611,0.070175439,0.140350877
7.28601E-5,11.750198083,0.147092522,0.288385044,0.070175439,0.140350877
7.47462E-5,12.001307391,0.150598137,0.285003978,0.070175439,0.140350877
7.66779E-5,12.251356019,0.154173418,0.281722355,0.070175439,0.140350877
7.87249E-5,12.500344117,0.15794601,0.278540175,0.070175439,0.140350877
8.03095E-5,12.754803234,0.160854694,0.275357995,0.070175439,0.140350877
8.21232E-5,13.006773316,0.164171564,0.272275259,0.070175439,0.140350877
8.37649E-5,13.255718204,0.167162545,0.269291965,0.070175439,0.140350877
8.53944E-5,13.50097381,0.17012084,0.266408115,0.070175439,0.140350877
8.69507E-5,13.751128582,0.17293637,0.263524264,0.070175439,0.140350877
8.8197E-5,14.005065753,0.175184186,0.260640414,0.087719298,0.140350877
8.946E-5,14.254112581,0.177455963,0.257856006,0.087719298,0.140350877
9.09516E-5,14.506766008,0.180130714,0.255071599,0.087719298,0.140350877
9.24912E-5,14.7546814,0.182882451,0.252386635,0.087719298,0.140350877
9.43605E-5,15.007137882,0.186211276,0.249701671,0.105263158,0.140350877
9.54732E-5,15.254103449,0.188186164,0.24711615,0.105263158,0.140350877
9.70396E-5,15.504503822,0.190958316,0.244530628,0.105263158,0.140350877
9.85625E-5,15.758668736,0.193644322,0.241945107,0.105263158,0.140350877
9.98798E-5,16.006592268,0.195960535,0.239459029,0.105263158,0.140350877
1.01391E-4,16.258406446,0.198608918,0.236972951,0.105263158,0.140350877
1.02515E-4,16.502972615,0.20057319,0.234586317,0.105263158,0.140350877
1.03631E-4,16.750352401,0.202519745,0.232199682,0.105263158,0.140350877
1.04757E-4,17.000579888,0.204477564,0.229813047,0.105263158,0.157894737
1.05503E-4,17.253003525,0.205773851,0.227426412,0.105263158,0.157894737
1.06902E-4,17.508206634,0.208196481,0.225039777,0.105263158,0.175438596
1.08202E-4,17.755575102,0.210440756,0.222752586,0.105263158,0.175438596
1.09201E-4,18.005851275,0.212161252,0.220465394,0.105263158,0.175438596
1.10088E-4,18.258048168,0.213685696,0.218178202,0.105263158,0.175438596
1.11748E-4,18.502404924,0.216530081,0.215990453,0.122807018,0.175438596
1.1283E-4,18.76076916,0.21837993,0.213703262,0.122807018,0.175438596
1.14396E-4,19.010980372,0.22104766,0.211515513,0.122807018,0.175438596
1.15669E-4,19.252551469,0.223209827,0.209427208,0.122807018,0.175438596
1.16889E-4,19.508437479,0.22527711,0.207239459,0.122807018,0.175438596
1.18882E-4,19.755883448,0.228640604,0.205151154,0.122807018,0.210526316
1.20242E-4,20.006989147,0.230928304,0.203062848,0.122807018,0.228070175
1.213E-4,20.260440591,0.232703787,0.200974543,0.122807018,0.228070175
1.22194E-4,20.503910252,0.234199914,0.19898568,0.122807018,0.228070175
