Predictor variable,Categorical,Sample average
cld6190_ann,false,67.87719298245614
dtr6190_ann,false,95.96491228070175
ecoreg,false,9.508771929824562
frs6190_ann,false,1.7894736842105263
h_dem,false,204.3859649122807
pre6190_ann,false,70.42105263157895
pre6190_l1,false,54.526315789473685
pre6190_l10,false,86.59649122807018
pre6190_l4,false,71.54385964912281
pre6190_l7,false,68.19298245614036
tmn6190_ann,false,192.17543859649123
tmp6190_ann,false,250.50877192982455
tmx6190_ann,false,311.7894736842105
vap6190_ann,false,263.2105263157895
