Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.99309E-12,0.000000001,0.000000001,0.99780658,0,0
6.13099E-12,0.000000003,0.000000002,0.997507478,0,0
1.37006E-11,0.000000011,0.000000005,0.99670987,0,0
2.35309E-11,0.000000027,0.000000009,0.995812562,0,0
7.8894E-11,0.000000104,0.000000032,0.99441675,0,0
1.80563E-10,0.000000267,0.000000072,0.993220339,0,0
6.81109E-10,0.000001057,0.000000272,0.99112662,0,0
1.18159E-9,0.000002541,0.000000473,0.989631107,0,0
2.69516E-9,0.000010022,0.000001078,0.985343968,0,0
5.37078E-9,0.000025489,0.000002148,0.981455633,0,0
8.12147E-9,0.000050254,0.000003248,0.977567298,0,0
1.22131E-8,0.000100943,0.000004885,0.972681954,0,0
2.24387E-8,0.000251337,0.000008974,0.964207378,0,0
3.40489E-8,0.000500254,0.000013618,0.955333998,0,0
4.94621E-8,0.001004175,0.000019782,0.943469591,0,0
9.07862E-8,0.002502736,0.000036309,0.921635095,0,0
1.58603E-7,0.005013663,0.00006343,0.901595214,0,0
2.41014E-7,0.01002085,0.000096387,0.876869392,0,0
4.50531E-7,0.025000982,0.00018017,0.833698903,0,0
6.45904E-7,0.050034647,0.000258291,0.788733799,0,0
9.33108E-7,0.100045707,0.00037312,0.725623131,0,0
1.39062E-6,0.200111429,0.000556015,0.638683948,0,0
1.83332E-6,0.300183241,0.000732955,0.57666999,0,0
2.31741E-6,0.400103096,0.000926401,0.528514457,0,0
2.79253E-6,0.500033264,0.001116229,0.489431705,0,0
3.22301E-6,0.600154107,0.001288189,0.456131605,0,0
3.62154E-6,0.700246118,0.00144736,0.427018943,0,0
3.85556E-6,0.750343954,0.001540817,0.413659023,0,0
4.10282E-6,0.800201143,0.00163955,0.401196411,0,0
4.55443E-6,0.900050048,0.001819853,0.378265204,0,0
5.03011E-6,1.000424277,0.002009736,0.357328016,0,0
5.5582E-6,1.100071377,0.002220492,0.338584247,0,0
6.01527E-6,1.20010625,0.002402872,0.321335992,0,0
6.43027E-6,1.300201701,0.002568435,0.305284148,0,0
6.78572E-6,1.4005971,0.002710222,0.290129611,0,0
7.23386E-6,1.500718669,0.00288895,0.275872383,0,0
8.62185E-6,1.750737478,0.003442308,0.244366899,0,0
1.00645E-5,2.00016348,0.004017129,0.217547358,0,0
1.15635E-5,2.251077944,0.004614068,0.194317049,0,0
1.33116E-5,2.501230846,0.005309722,0.174277168,0,0
1.51818E-5,2.751076188,0.006053473,0.156729811,0,0
1.77561E-5,3.000299519,0.00707627,0.141575274,0,0
2.03744E-5,3.250614716,0.008115483,0.128414756,0,0
2.35269E-5,3.500030627,0.009365268,0.117048853,0,0
2.69321E-5,3.752148573,0.010713479,0.107078764,0,0
3.05283E-5,4.00180891,0.01213532,0.098404786,0,0
3.45527E-5,4.253110652,0.013724039,0.090727817,0,0
3.87285E-5,4.50140916,0.015369847,0.083948156,0,0
4.4437E-5,4.7514127,0.017615251,0.077866401,0,0
5.00937E-5,5.001441474,0.019835272,0.072582253,0,0
5.54428E-5,5.250319243,0.021929928,0.067896311,0,0
6.21642E-5,5.502319869,0.024555588,0.063609172,0,0
6.91773E-5,5.750120418,0.027287738,0.059820538,0,0
7.76886E-5,6.00529169,0.030593242,0.056331007,0,0
8.67741E-5,6.25253511,0.034109364,0.05333998,0,0.033333333
9.59239E-5,6.509141328,0.037637502,0.050548355,0,0.033333333
1.06257E-4,6.759364735,0.041606201,0.048055833,0,0.066666667
1.19013E-4,7.007014197,0.046483214,0.045862413,0,0.066666667
1.32207E-4,7.259116472,0.051501754,0.043868395,0,0.1
1.61124E-4,7.510853099,0.062407864,0.04217348,0,0.1
1.82333E-4,7.753383065,0.070327228,0.040777667,0,0.1
2.01105E-4,8.002706283,0.077280938,0.039481555,0,0.1
2.22069E-4,8.258849386,0.084985222,0.038285145,0,0.1
2.30364E-4,8.507527113,0.088015708,0.037188435,0,0.1
2.76108E-4,8.760767817,0.104548713,0.036191426,0,0.1
2.97461E-4,9.01893669,0.11216307,0.035294118,0,0.1
3.36343E-4,9.273504574,0.125862867,0.03449651,0,0.1
3.51008E-4,9.514676254,0.130974643,0.033798604,0,0.133333333
3.66966E-4,9.7665129,0.136503566,0.033100698,0,0.133333333
3.83683E-4,10.029542594,0.142257313,0.032402792,0,0.133333333
4.02374E-4,10.267477626,0.148645414,0.031804586,0,0.133333333
4.42816E-4,10.525098092,0.162304901,0.031206381,0,0.166666667
4.61726E-4,10.751263395,0.168616268,0.030707876,0,0.166666667
4.87757E-4,11.038865587,0.177227048,0.030109671,0,0.166666667
5.05899E-4,11.286301303,0.183175059,0.029611167,0,0.166666667
5.39402E-4,11.553851468,0.194046978,0.029112662,0,0.166666667
5.54988E-4,11.771929669,0.199055241,0.028713858,0,0.166666667
5.82007E-4,12.001691864,0.207663741,0.028315055,0,0.166666667
5.97939E-4,12.296303495,0.212696277,0.02781655,0,0.166666667
6.09649E-4,12.538328721,0.216374995,0.027417747,0,0.2
6.27236E-4,12.786780737,0.221867428,0.027018943,0,0.2
6.37276E-4,13.039337316,0.224985772,0.02662014,0,0.2
6.59337E-4,13.298491982,0.231793814,0.026221336,0,0.2
6.888E-4,13.567105687,0.240792773,0.025822532,0,0.2
7.16863E-4,13.781719566,0.249266113,0.02552343,0,0.2
7.40598E-4,14.003223009,0.256358997,0.025224327,0,0.2
7.75716E-4,14.308408292,0.266730367,0.024825523,0,0.2
7.88704E-4,14.544414389,0.27052958,0.024526421,0,0.2
7.97407E-4,14.782541026,0.273064125,0.024227318,0,0.2
8.29232E-4,15.030713099,0.282258285,0.023928215,0,0.2
8.69406E-4,15.289607653,0.293698215,0.023629113,0,0.233333333
8.94353E-4,15.556179323,0.300710283,0.02333001,0.032258065,0.266666667
9.15927E-4,15.830158614,0.306717849,0.023030907,0.064516129,0.266666667
9.244E-4,16.014513304,0.309063427,0.022831505,0.064516129,0.266666667
9.66357E-4,16.299469247,0.320560828,0.022532403,0.064516129,0.3
1.00884E-3,16.599287476,0.332008464,0.0222333,0.064516129,0.3
1.01903E-3,16.802545069,0.334724103,0.022033898,0.064516129,0.3
1.02152E-3,17.006680299,0.335387597,0.021834497,0.096774194,0.3
1.07575E-3,17.323070351,0.349647196,0.021535394,0.096774194,0.3
1.08525E-3,17.539254866,0.352112156,0.021335992,0.129032258,0.3
1.11244E-3,17.760284761,0.359120346,0.02113659,0.129032258,0.3
1.16457E-3,18.10224638,0.372342667,0.020837488,0.129032258,0.3
1.19194E-3,18.338834243,0.379175379,0.020638086,0.129032258,0.3
1.20607E-3,18.578858558,0.382675044,0.020438684,0.129032258,0.333333333
1.21582E-3,18.821488942,0.385077123,0.020239282,0.161290323,0.333333333
1.23814E-3,19.068282751,0.390542526,0.02003988,0.161290323,0.333333333
1.26043E-3,19.320036887,0.395951076,0.019840479,0.161290323,0.333333333
1.32921E-3,19.535504057,0.412340607,0.019641077,0.161290323,0.333333333
1.37872E-3,19.859322221,0.423861933,0.019441675,0.161290323,0.366666667
1.39601E-3,20.138027438,0.427831911,0.019242273,0.161290323,0.366666667
1.40076E-3,20.278103701,0.428919366,0.019142572,0.161290323,0.366666667
1.41076E-3,20.560151296,0.431197931,0.01894317,0.161290323,0.366666667
1.46419E-3,20.850551652,0.443225012,0.018743769,0.193548387,0.366666667
1.51756E-3,21.149410363,0.454982772,0.018544367,0.193548387,0.366666667
1.52878E-3,21.30228882,0.457423565,0.018444666,0.193548387,0.366666667
1.58165E-3,21.61850935,0.468775586,0.018245264,0.193548387,0.366666667
1.58538E-3,21.777047165,0.469566406,0.018145563,0.193548387,0.366666667
1.62972E-3,22.101325876,0.478890962,0.017946162,0.193548387,0.366666667
1.63084E-3,22.264409792,0.479123499,0.017846461,0.193548387,0.366666667
1.65165E-3,22.594247924,0.483441078,0.017647059,0.193548387,0.366666667
1.65615E-3,22.759863216,0.484370276,0.017547358,0.193548387,0.366666667
1.70058E-3,23.011932871,0.493451024,0.017347956,0.193548387,0.366666667
1.7453E-3,23.274561171,0.502430441,0.017248255,0.193548387,0.433333333
1.76427E-3,23.626368195,0.506190327,0.017048853,0.225806452,0.433333333
1.77391E-3,23.803759403,0.508091858,0.016949153,0.225806452,0.433333333
1.80785E-3,24.16441072,0.514724028,0.016749751,0.225806452,0.433333333
1.87891E-3,24.352301855,0.528321174,0.01665005,0.225806452,0.433333333
1.89528E-3,24.541830097,0.531399401,0.016550349,0.225806452,0.433333333
1.94581E-3,24.928898029,0.540774155,0.016350947,0.225806452,0.433333333
1.98068E-3,25.126965903,0.547133597,0.016251246,0.225806452,0.433333333
1.99443E-3,25.326408992,0.549617556,0.016151545,0.225806452,0.466666667
1.99942E-3,25.526350999,0.550515348,0.016051844,0.225806452,0.466666667
2.03617E-3,25.933453169,0.557073053,0.015852443,0.225806452,0.466666667
2.03689E-3,26.137141777,0.557200331,0.015752742,0.225806452,0.466666667
2.06268E-3,26.343409377,0.561744113,0.015653041,0.225806452,0.466666667
2.06421E-3,26.549830215,0.562012621,0.01555334,0.258064516,0.466666667
2.08914E-3,26.758744552,0.566358774,0.015453639,0.258064516,0.466666667
2.11664E-3,27.180148036,0.571100837,0.015254237,0.258064516,0.466666667
2.13153E-3,27.393300622,0.573647292,0.015154536,0.258064516,0.466666667
2.14669E-3,27.607969306,0.576224672,0.015054835,0.258064516,0.466666667
2.22043E-3,27.830012255,0.5885405,0.014955135,0.258064516,0.466666667
2.2751E-3,28.057522064,0.597439144,0.014855434,0.258064516,0.466666667
