Predictor variable,Categorical,Sample average
cld6190_ann,false,71.93548387096774
dtr6190_ann,false,123.41935483870968
ecoreg,false,10.32258064516129
frs6190_ann,false,33.16129032258065
h_dem,false,2205.3548387096776
pre6190_ann,false,38.516129032258064
pre6190_l1,false,37.03225806451613
pre6190_l10,false,47.806451612903224
pre6190_l4,false,49.516129032258064
pre6190_l7,false,24.29032258064516
tmn6190_ann,false,94.70967741935483
tmp6190_ann,false,169.6451612903226
tmx6190_ann,false,239.90322580645162
vap6190_ann,false,152.03225806451613
