Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.82843E-11,0.000000004,0.000000013,0.999601752,0,0
5.83737E-11,0.000000013,0.000000026,0.999402628,0,0
6.29227E-11,0.000000026,0.000000028,0.999203505,0,0
1.16677E-10,0.0000001,0.000000052,0.998407009,0,0
3.54314E-10,0.000000275,0.000000158,0.997710076,0,0
1.0272E-9,0.000001052,0.000000459,0.996614894,0,0
1.67912E-9,0.000002616,0.00000075,0.995519713,0,0
5.91077E-9,0.000010313,0.000002639,0.993628037,0,0
8.46715E-9,0.000025397,0.00000378,0.991537236,0,0
1.17974E-8,0.000050318,0.000005267,0.98914775,0,0
1.79735E-8,0.000100057,0.000008024,0.985862206,0,0
3.63655E-8,0.000253472,0.000016235,0.979689367,0,0
5.13689E-8,0.000503871,0.000022933,0.974113899,0,0
7.60607E-8,0.001006439,0.000033956,0.966348068,0,0
1.34923E-7,0.002504385,0.000060234,0.952011151,0,0
2.02239E-7,0.005016286,0.000090285,0.937275986,0,0
2.84937E-7,0.010008509,0.000127201,0.916965352,0,0
4.42206E-7,0.025003439,0.000197401,0.875448029,0,0
6.16227E-7,0.050045714,0.000275074,0.828554361,0,0
8.2217E-7,0.10002838,0.000366987,0.759557945,0,0
1.20388E-6,0.200109517,0.000537321,0.659000398,0,0
1.54047E-6,0.300097123,0.000687498,0.586021505,0,0
1.86249E-6,0.4001799,0.000831155,0.526981282,0,0
2.21916E-6,0.500210547,0.000990245,0.478195938,0,0
2.58548E-6,0.600127332,0.00115361,0.436778176,0,0
2.96782E-6,0.70001545,0.001324092,0.40083632,0,0
3.1738E-6,0.750063208,0.001415927,0.384607726,0,0
3.38928E-6,0.800258045,0.001511985,0.369374751,0,0
3.8308E-6,0.900376552,0.001708782,0.341796097,0,0
4.33124E-6,1.000244026,0.001931793,0.317403425,0,0
4.80807E-6,1.100173662,0.00214424,0.295599363,0,0
5.24502E-6,1.200059753,0.002338876,0.275786539,0,0
5.81466E-6,1.300472424,0.002592563,0.257666268,0,0
6.3912E-6,1.40002242,0.002849256,0.241338112,0,0
7.03796E-6,1.500135988,0.003137134,0.226503385,0,0
9.38685E-6,1.75043329,0.004181948,0.195440064,0,0
1.19882E-5,2.000831234,0.005337796,0.171943449,0,0
1.50948E-5,2.250899263,0.006716354,0.15342493,0,0
1.87674E-5,2.50142419,0.008343612,0.138590203,0,0
2.20641E-5,2.750411017,0.009802078,0.126344086,0,0
2.61712E-5,3.000503078,0.011616015,0.115989646,0,0
3.0306E-5,3.251438332,0.013438852,0.107128634,0,0
3.43597E-5,3.502912231,0.015222688,0.099362804,0,0
3.87041E-5,3.751334175,0.017130858,0.092592593,0,0
4.32725E-5,4.000532052,0.019133382,0.086519315,0,0
4.89885E-5,4.253629962,0.021633253,0.081043409,0,0
5.55239E-5,4.502194758,0.024483687,0.076264436,0,0.022727273
6.4319E-5,4.754054894,0.028306567,0.072082836,0,0.022727273
7.19344E-5,5.005411413,0.031604584,0.068399044,0,0.022727273
8.19101E-5,5.250205979,0.035907843,0.065213063,0,0.022727273
9.0581E-5,5.507071217,0.039632696,0.062226205,0,0.022727273
9.88977E-5,5.754603968,0.043191896,0.059637595,0,0.022727273
1.07336E-4,6.001515721,0.046789584,0.057248108,0,0.022727273
1.15379E-4,6.256523089,0.050206464,0.054958184,0.045454545,0.022727273
