Predictor variable,Categorical,Sample average
cld6190_ann,false,71.22727272727273
dtr6190_ann,false,127.11363636363636
ecoreg,false,10.5
frs6190_ann,false,37.27272727272727
h_dem,false,2541.2045454545455
pre6190_ann,false,37.15909090909091
pre6190_l1,false,34.84090909090909
pre6190_l10,false,48.61363636363637
pre6190_l4,false,47.31818181818182
pre6190_l7,false,21.84090909090909
tmn6190_ann,false,85.22727272727273
tmp6190_ann,false,162.38636363636363
tmx6190_ann,false,235.5
vap6190_ann,false,144.4090909090909
